<<<<<<< HEAD
Name: angerville-2
Location: 48.3219 , 2.0306
Issued: 2020/07/24 00:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 00:00UTC,2.55,316
2020/07/24 03:00UTC,3.14,316
2020/07/24 06:00UTC,2.80,317
2020/07/24 09:00UTC,2.50,302
2020/07/24 12:00UTC,3.96,283
2020/07/24 15:00UTC,4.07,282
2020/07/24 18:00UTC,3.41,289
2020/07/24 21:00UTC,1.41,287
2020/07/25 00:00UTC,1.94,274
2020/07/25 03:00UTC,2.65,251
2020/07/25 06:00UTC,3.22,237
2020/07/25 09:00UTC,5.16,234
2020/07/25 12:00UTC,5.29,235
2020/07/25 15:00UTC,5.44,242
2020/07/25 18:00UTC,4.66,246
2020/07/25 21:00UTC,2.83,259
2020/07/26 00:00UTC,4.63,237
2020/07/26 03:00UTC,4.50,236
2020/07/26 06:00UTC,5.02,240
2020/07/26 09:00UTC,5.16,267
2020/07/26 12:00UTC,4.97,263
2020/07/26 15:00UTC,4.97,270
2020/07/26 18:00UTC,2.85,283
2020/07/26 21:00UTC,2.21,341
2020/07/27 00:00UTC,1.34,25
2020/07/27 03:00UTC,1.84,91
2020/07/27 06:00UTC,1.73,146
2020/07/27 09:00UTC,4.03,209
2020/07/27 12:00UTC,5.03,218
2020/07/27 15:00UTC,6.01,234
2020/07/27 18:00UTC,3.95,250
2020/07/27 21:00UTC,3.97,259
2020/07/28 00:00UTC,4.18,262
2020/07/28 03:00UTC,3.52,240
2020/07/28 06:00UTC,4.33,256
2020/07/28 09:00UTC,3.83,281
2020/07/28 12:00UTC,3.79,271
2020/07/28 15:00UTC,4.39,288
2020/07/28 18:00UTC,4.16,321
2020/07/28 21:00UTC,3.98,339
2020/07/29 00:00UTC,2.44,339
2020/07/29 03:00UTC,2.26,323
2020/07/29 06:00UTC,2.03,325
2020/07/29 09:00UTC,1.46,289
2020/07/29 12:00UTC,2.33,278
2020/07/29 15:00UTC,2.13,291
2020/07/29 18:00UTC,0.67,338
2020/07/29 21:00UTC,2.79,347
2020/07/30 00:00UTC,2.43,54
2020/07/30 03:00UTC,2.16,72
2020/07/30 06:00UTC,2.05,85
2020/07/30 09:00UTC,2.08,101
2020/07/30 12:00UTC,1.76,110
2020/07/30 15:00UTC,1.71,111
2020/07/30 18:00UTC,2.31,76
2020/07/30 21:00UTC,3.64,85
2020/07/31 00:00UTC,3.49,91
2020/07/31 03:00UTC,3.01,91
2020/07/31 06:00UTC,3.22,99
2020/07/31 09:00UTC,2.77,144
2020/07/31 12:00UTC,3.83,212
2020/07/31 15:00UTC,5.09,230
2020/07/31 18:00UTC,2.56,236
2020/07/31 21:00UTC,3.22,309
2020/08/01 00:00UTC,2.82,214
2020/08/01 03:00UTC,4.00,240
2020/08/01 06:00UTC,4.34,237
2020/08/01 09:00UTC,5.26,232
2020/08/01 12:00UTC,8.03,230
2020/08/01 15:00UTC,8.75,233
2020/08/01 18:00UTC,7.32,240
2020/08/01 21:00UTC,6.62,238
2020/08/02 00:00UTC,6.21,239
2020/08/02 03:00UTC,5.39,235
2020/08/02 06:00UTC,6.15,246
2020/08/02 09:00UTC,7.96,243
2020/08/02 12:00UTC,7.72,255
2020/08/02 15:00UTC,6.28,254
2020/08/02 18:00UTC,6.85,265
2020/08/02 21:00UTC,4.78,254
2020/08/03 00:00UTC,4.82,252
=======
,Time,Speed(m/s),Direction (deg N)
0,2020-07-23 18:00:00,2.59,280
1,2020-07-23 21:00:00,1.95,333
2,2020-07-24 00:00:00,2.85,312
3,2020-07-24 03:00:00,3.31,323
4,2020-07-24 06:00:00,2.71,319
5,2020-07-24 09:00:00,2.58,303
6,2020-07-24 12:00:00,3.98,280
7,2020-07-24 15:00:00,4.42,280
8,2020-07-24 18:00:00,3.07,294
9,2020-07-24 21:00:00,1.99,291
10,2020-07-25 00:00:00,1.68,289
11,2020-07-25 03:00:00,2.12,243
12,2020-07-25 06:00:00,2.82,240
13,2020-07-25 09:00:00,4.33,235
14,2020-07-25 12:00:00,5.11,237
15,2020-07-25 15:00:00,5.34,236
16,2020-07-25 18:00:00,4.78,240
17,2020-07-25 21:00:00,3.26,227
18,2020-07-26 00:00:00,5.24,241
19,2020-07-26 03:00:00,5.08,238
20,2020-07-26 06:00:00,5.29,253
21,2020-07-26 09:00:00,4.94,268
22,2020-07-26 12:00:00,4.86,260
23,2020-07-26 15:00:00,5.18,269
24,2020-07-26 18:00:00,3.81,287
25,2020-07-26 21:00:00,1.99,328
26,2020-07-27 00:00:00,1.28,357
27,2020-07-27 03:00:00,1.37,101
28,2020-07-27 06:00:00,1.52,141
29,2020-07-27 09:00:00,2.77,194
30,2020-07-27 12:00:00,4.31,214
31,2020-07-27 15:00:00,4.67,228
32,2020-07-27 18:00:00,2.91,237
33,2020-07-27 21:00:00,2.51,207
34,2020-07-28 00:00:00,3.07,273
35,2020-07-28 03:00:00,2.71,245
36,2020-07-28 06:00:00,2.99,250
37,2020-07-28 09:00:00,3.5,243
38,2020-07-28 12:00:00,4.35,240
39,2020-07-28 15:00:00,5.02,243
40,2020-07-28 18:00:00,3.73,271
41,2020-07-28 21:00:00,3.58,321
42,2020-07-29 00:00:00,2.64,319
43,2020-07-29 03:00:00,3.31,319
44,2020-07-29 06:00:00,3.24,301
45,2020-07-29 09:00:00,3.29,304
46,2020-07-29 12:00:00,3.65,293
47,2020-07-29 15:00:00,3.85,308
48,2020-07-29 18:00:00,4.6,336
49,2020-07-29 21:00:00,3.07,0
50,2020-07-30 00:00:00,2.18,10
51,2020-07-30 03:00:00,2.02,26
52,2020-07-30 06:00:00,2.17,29
53,2020-07-30 09:00:00,2.64,47
54,2020-07-30 12:00:00,2.36,69
55,2020-07-30 15:00:00,2.66,75
56,2020-07-30 18:00:00,2.48,70
57,2020-07-30 21:00:00,3.67,82
58,2020-07-31 00:00:00,3.65,88
59,2020-07-31 03:00:00,3.09,90
60,2020-07-31 06:00:00,3.39,98
61,2020-07-31 09:00:00,3.57,108
62,2020-07-31 12:00:00,2.59,144
63,2020-07-31 15:00:00,3.13,231
64,2020-07-31 18:00:00,1.95,230
65,2020-07-31 21:00:00,2.46,206
66,2020-08-01 00:00:00,3.23,256
67,2020-08-01 03:00:00,2.99,262
68,2020-08-01 06:00:00,3.9,238
69,2020-08-01 09:00:00,5.2,237
70,2020-08-01 12:00:00,6.73,241
71,2020-08-01 15:00:00,7.16,249
72,2020-08-01 18:00:00,6.03,276
73,2020-08-01 21:00:00,4.03,264
74,2020-08-02 00:00:00,4.72,253
75,2020-08-02 03:00:00,4.34,250
76,2020-08-02 06:00:00,4.52,246
77,2020-08-02 09:00:00,6.06,247
78,2020-08-02 12:00:00,6.11,248
79,2020-08-02 15:00:00,6.24,241
80,2020-08-02 18:00:00,4.73,252
>>>>>>> dfd3ee4a1564a95c18affed420e617b31e19ee85
